ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
201861_s_at,2.63E-02,5.59E-03,-2.92,-3.035724,-3.88E-01,LRRFIP1,LRR binding FLII interacting protein 1,9208
211458_s_at,2.63E-02,5.59E-03,2.92,-3.036498,5.26E-01,GABARAPL3///GABARAPL1,GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1,23766///23710
221821_s_at,2.63E-02,5.59E-03,2.92,-3.036801,3.67E-01,KANSL2,KAT8 regulatory NSL complex subunit 2,54934
221538_s_at,2.63E-02,5.59E-03,-2.92,-3.037043,-5.01E-01,PLXNA1,plexin A1,5361
218715_at,2.63E-02,5.60E-03,2.92,-3.037739,2.59E-01,UTP6,"UTP6, small subunit processome component",55813
205791_x_at,2.64E-02,5.61E-03,2.91,-3.040346,9.29E-02,ZNF230,zinc finger protein 230,7773
221794_at,2.65E-02,5.64E-03,-2.91,-3.044337,-6.74E-01,DOCK6,dedicator of cytokinesis 6,57572
221523_s_at,2.65E-02,5.64E-03,2.91,-3.044775,1.16,RRAGD,Ras related GTP binding D,58528
204347_at,2.65E-02,5.64E-03,-2.91,-3.0449,-2.45E-01,LOC100507855///AK4,"adenylate kinase 4, mitochondrial-like///adenylate kinase 4",100507855///205
202703_at,2.65E-02,5.65E-03,2.91,-3.045989,2.69E-01,DUSP11,dual specificity phosphatase 11,8446
221260_s_at,2.66E-02,5.65E-03,-2.91,-3.046609,-3.70E-01,CSRNP2,cysteine and serine rich nuclear protein 2,81566
55705_at,2.66E-02,5.66E-03,-2.91,-3.047698,-2.34E-01,R3HDM4,R3H domain containing 4,91300
214223_at,2.66E-02,5.67E-03,-2.91,-3.048736,-1.43E-01,PTP4A3,"protein tyrosine phosphatase type IVA, member 3",11156
209108_at,2.66E-02,5.67E-03,2.91,-3.048993,3.58E-01,TSPAN6,tetraspanin 6,7105
219752_at,2.66E-02,5.67E-03,-2.91,-3.049012,-4.66E-01,RASAL1,RAS protein activator like 1,8437
212911_at,2.67E-02,5.70E-03,2.91,-3.054049,3.11E-01,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,23341
202216_x_at,2.67E-02,5.70E-03,2.91,-3.054065,4.17E-01,NFYC,nuclear transcription factor Y subunit gamma,4802
217137_x_at,2.68E-02,5.70E-03,-2.91,-3.054944,-4.37E-01,,,
221434_s_at,2.69E-02,5.73E-03,2.91,-3.058864,3.51E-01,SLIRP,SRA stem-loop interacting RNA binding protein,81892
210912_x_at,2.69E-02,5.73E-03,2.91,-3.0591,1.86E-01,GSTM4,glutathione S-transferase mu 4,2948
AFFX-LysX-3_at,2.69E-02,5.73E-03,-2.91,-3.059123,-4.53,,,
212200_at,2.69E-02,5.75E-03,-2.91,-3.062242,-4.38E-01,ANKLE2,ankyrin repeat and LEM domain containing 2,23141
213853_at,2.70E-02,5.75E-03,2.9,-3.062786,3.42E-01,DNAJC24,DnaJ heat shock protein family (Hsp40) member C24,120526
211622_s_at,2.70E-02,5.75E-03,-2.9,-3.063105,-3.59E-01,ARF3,ADP ribosylation factor 3,377
206409_at,2.70E-02,5.77E-03,-2.9,-3.065091,-5.05E-01,TIAM1,T-cell lymphoma invasion and metastasis 1,7074
222150_s_at,2.70E-02,5.77E-03,2.9,-3.065515,5.39E-01,GSAP,gamma-secretase activating protein,54103
203490_at,2.70E-02,5.77E-03,-2.9,-3.065543,-5.22E-01,ELF4,E74 like ETS transcription factor 4,2000
209868_s_at,2.70E-02,5.77E-03,2.9,-3.065819,3.72E-01,RBMS1,RNA binding motif single stranded interacting protein 1,5937
211228_s_at,2.71E-02,5.79E-03,2.9,-3.068908,3.57E-01,RAD17,RAD17 checkpoint clamp loader component,5884
208830_s_at,2.71E-02,5.80E-03,-2.9,-3.070648,-3.76E-01,SUPT6H,"SPT6 homolog, histone chaperone",6830
212712_at,2.72E-02,5.81E-03,-2.9,-3.072082,-2.26E-01,CAMSAP1,calmodulin regulated spectrin associated protein 1,157922
214073_at,2.72E-02,5.82E-03,-2.9,-3.073783,-4.49E-01,CTTN,cortactin,2017
202729_s_at,2.72E-02,5.82E-03,-2.9,-3.073994,-9.67E-01,LTBP1,latent transforming growth factor beta binding protein 1,4052
210740_s_at,2.72E-02,5.82E-03,-2.9,-3.074067,-3.96E-01,ITPK1,inositol-tetrakisphosphate 1-kinase,3705
219939_s_at,2.72E-02,5.83E-03,2.9,-3.074732,2.22E-01,CSDE1,cold shock domain containing E1,7812
216115_at,2.72E-02,5.83E-03,-2.9,-3.07477,-7.28E-01,NF1P9///NF1,neurofibromin 1 pseudogene 9///neurofibromin 1,101930150///4763
209146_at,2.73E-02,5.84E-03,-2.9,-3.075986,-4.67E-01,MSMO1,methylsterol monooxygenase 1,6307
AFFX-r2-Bs-thr-5_s_at,2.73E-02,5.84E-03,-2.9,-3.076059,-4.41,,,
207127_s_at,2.73E-02,5.84E-03,2.9,-3.076427,3.44E-01,HNRNPH3,heterogeneous nuclear ribonucleoprotein H3,3189
200792_at,2.73E-02,5.84E-03,2.9,-3.076598,2.71E-01,XRCC6,X-ray repair cross complementing 6,2547
203995_at,2.73E-02,5.84E-03,2.9,-3.076995,3.14E-01,C21orf2,chromosome 21 open reading frame 2,755
201020_at,2.73E-02,5.84E-03,-2.9,-3.077256,-4.46E-01,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,7533
201908_at,2.73E-02,5.86E-03,-2.9,-3.079236,-3.95E-01,DVL3,dishevelled segment polarity protein 3,1857
202943_s_at,2.73E-02,5.86E-03,-2.9,-3.079573,-4.35E-01,NAGA,alpha-N-acetylgalactosaminidase,4668
211792_s_at,2.73E-02,5.86E-03,-2.9,-3.079698,-3.20E-01,CDKN2C,cyclin dependent kinase inhibitor 2C,1031
201160_s_at,2.73E-02,5.86E-03,-2.9,-3.079798,-3.92E-01,YBX3,Y-box binding protein 3,8531
AFFX-r2-Bs-lys-M_at,2.74E-02,5.87E-03,-2.9,-3.080858,-4.53,,,
217842_at,2.74E-02,5.87E-03,2.9,-3.082188,5.02E-01,C7orf55-LUC7L2///LUC7L2,"C7orf55-LUC7L2 readthrough///LUC7 like 2, pre-mRNA splicing factor",100996928///51631
201602_s_at,2.74E-02,5.88E-03,2.9,-3.082372,6.69E-01,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,4659
213228_at,2.74E-02,5.88E-03,2.9,-3.082838,1.4,PDE8B,phosphodiesterase 8B,8622
201428_at,2.74E-02,5.88E-03,-2.9,-3.083044,-6.45E-01,CLDN4,claudin 4,1364
212717_at,2.74E-02,5.88E-03,-2.9,-3.083129,-2.78E-01,PLEKHM1,pleckstrin homology and RUN domain containing M1,9842
213546_at,2.74E-02,5.89E-03,-2.9,-3.085036,-7.43E-01,DKFZP586I1420,uncharacterized protein DKFZp586I1420,222161
203298_s_at,2.74E-02,5.89E-03,2.9,-3.08537,2.78E-01,JARID2,jumonji and AT-rich interaction domain containing 2,3720
206959_s_at,2.75E-02,5.90E-03,2.9,-3.085947,3.84E-01,UPF3A,UPF3 regulator of nonsense transcripts homolog A (yeast),65110
200669_s_at,2.75E-02,5.90E-03,2.9,-3.086619,2.52E-01,UBE2D3,ubiquitin conjugating enzyme E2 D3,7323
203633_at,2.75E-02,5.90E-03,2.9,-3.086711,4.20E-01,CPT1A,carnitine palmitoyltransferase 1A,1374
216791_at,2.75E-02,5.91E-03,-2.89,-3.087337,-4.03E-01,,,
214074_s_at,2.75E-02,5.91E-03,-2.89,-3.08746,-2.55E-01,CTTN,cortactin,2017
219215_s_at,2.75E-02,5.91E-03,2.89,-3.088262,7.14E-01,SLC39A4,solute carrier family 39 member 4,55630
218531_at,2.75E-02,5.91E-03,-2.89,-3.08848,-3.50E-01,TMEM134,transmembrane protein 134,80194
206002_at,2.75E-02,5.92E-03,-2.89,-3.088888,-1.07,ADGRG2,adhesion G protein-coupled receptor G2,10149
215728_s_at,2.75E-02,5.93E-03,-2.89,-3.090595,-3.06E-01,ACOT7,acyl-CoA thioesterase 7,11332
214890_s_at,2.76E-02,5.94E-03,2.89,-3.091859,2.67E-01,FAM149A,family with sequence similarity 149 member A,25854
202104_s_at,2.76E-02,5.94E-03,2.89,-3.092105,3.76E-01,LOC101930112///SPG7,"uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit",101930112///6687
209790_s_at,2.76E-02,5.94E-03,-2.89,-3.092421,-3.22E-01,CASP6,caspase 6,839
218026_at,2.76E-02,5.95E-03,2.89,-3.093222,2.85E-01,COA3,cytochrome c oxidase assembly factor 3,28958
44673_at,2.76E-02,5.95E-03,-2.89,-3.093248,-2.74E-01,SIGLEC1,sialic acid binding Ig like lectin 1,6614
221021_s_at,2.76E-02,5.96E-03,2.89,-3.094784,2.11E-01,CTNNBL1,catenin beta like 1,56259
221730_at,2.76E-02,5.96E-03,-2.89,-3.095072,-1.23,COL5A2,collagen type V alpha 2 chain,1290
AFFX-r2-Bs-lys-5_at,2.77E-02,5.96E-03,-2.89,-3.095538,-4.74,,,
220363_s_at,2.77E-02,5.97E-03,-2.89,-3.097652,-3.69E-01,ELMO2,engulfment and cell motility 2,63916
210055_at,2.77E-02,5.97E-03,2.89,-3.097726,1.16,TSHR,thyroid stimulating hormone receptor,7253
221020_s_at,2.77E-02,5.97E-03,2.89,-3.097797,4.08E-01,SLC25A32,solute carrier family 25 member 32,81034
206617_s_at,2.77E-02,5.98E-03,-2.89,-3.098513,-4.84E-01,RENBP,renin binding protein,5973
210293_s_at,2.77E-02,5.98E-03,2.89,-3.098672,3.06E-01,SEC23B,"Sec23 homolog B, coat complex II component",10483
209101_at,2.77E-02,5.99E-03,2.89,-3.09942,9.96E-01,CTGF,connective tissue growth factor,1490
202922_at,2.78E-02,5.99E-03,2.89,-3.100477,3.43E-01,GCLC,glutamate-cysteine ligase catalytic subunit,2729
219353_at,2.78E-02,6.00E-03,2.89,-3.101989,4.59E-01,NHLRC2,NHL repeat containing 2,374354
207667_s_at,2.78E-02,6.00E-03,-2.89,-3.102264,-2.56E-01,LOC100996792///MAP2K3,dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3,100996792///5606
206111_at,2.78E-02,6.01E-03,-2.89,-3.10248,-5.95E-01,RNASE2,ribonuclease A family member 2,6036
204135_at,2.78E-02,6.01E-03,2.89,-3.103417,1.12,FILIP1L,filamin A interacting protein 1 like,11259
213111_at,2.79E-02,6.04E-03,2.89,-3.107429,4.40E-01,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing",200576
209121_x_at,2.79E-02,6.04E-03,2.89,-3.107532,5.27E-01,NR2F2,nuclear receptor subfamily 2 group F member 2,7026
217276_x_at,2.80E-02,6.05E-03,2.89,-3.109415,8.81E-02,SERHL2,serine hydrolase-like 2,253190
210054_at,2.80E-02,6.05E-03,2.89,-3.109876,4.27E-01,HAUS3,HAUS augmin like complex subunit 3,79441
AFFX-r2-Bs-lys-3_at,2.80E-02,6.05E-03,-2.89,-3.109944,-4.33,,,
222116_s_at,2.80E-02,6.06E-03,2.89,-3.11025,4.73E-01,TBC1D16,TBC1 domain family member 16,125058
213463_s_at,2.80E-02,6.06E-03,2.89,-3.110979,2.53E-01,FAM149B1,family with sequence similarity 149 member B1,317662
213730_x_at,2.80E-02,6.06E-03,-2.89,-3.111088,-2.46E-01,TCF3,transcription factor 3,6929
211296_x_at,2.80E-02,6.06E-03,2.89,-3.111182,2.43E-01,UBC,ubiquitin C,7316
204542_at,2.80E-02,6.07E-03,2.88,-3.111937,8.75E-01,ST6GALNAC2,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",10610
219817_at,2.80E-02,6.07E-03,2.88,-3.111979,3.57E-01,MAPKAPK5-AS1,MAPKAPK5 antisense RNA 1,51275
219202_at,2.80E-02,6.07E-03,-2.88,-3.112521,-4.01E-01,RHBDF2,rhomboid 5 homolog 2,79651
222201_s_at,2.80E-02,6.07E-03,2.88,-3.113029,4.26E-01,CASP8AP2,caspase 8 associated protein 2,9994
206032_at,2.80E-02,6.08E-03,-2.88,-3.113172,-1.83E-01,DSC3,desmocollin 3,1825
212709_at,2.81E-02,6.09E-03,2.88,-3.11517,4.88E-01,NUP160,nucleoporin 160,23279
207923_x_at,2.81E-02,6.10E-03,2.88,-3.116328,9.58E-01,PAX8,paired box 8,7849
213020_at,2.81E-02,6.10E-03,2.88,-3.116575,1.78E-01,GOSR1,golgi SNAP receptor complex member 1,9527
202164_s_at,2.82E-02,6.11E-03,2.88,-3.117709,3.66E-01,CNOT8,CCR4-NOT transcription complex subunit 8,9337
202622_s_at,2.82E-02,6.11E-03,-2.88,-3.117892,-6.33E-01,ATXN2,ataxin 2,6311
200015_s_at,2.82E-02,6.11E-03,2.88,-3.118065,3.70E-01,Sep-02,septin 2,4735
206076_at,2.82E-02,6.11E-03,2.88,-3.119015,3.55E-01,LRRC23,leucine rich repeat containing 23,10233
AFFX-r2-Bs-thr-M_s_at,2.82E-02,6.12E-03,-2.88,-3.119777,-4.47,,,
218405_at,2.82E-02,6.12E-03,2.88,-3.120182,4.47E-01,ABT1,activator of basal transcription 1,29777
218605_at,2.82E-02,6.13E-03,2.88,-3.121748,4.60E-01,TFB2M,"transcription factor B2, mitochondrial",64216
201166_s_at,2.82E-02,6.13E-03,2.88,-3.121854,1.76E-01,PUM1,pumilio RNA binding family member 1,9698
37590_g_at,2.83E-02,6.15E-03,2.88,-3.123836,2.09E-01,,,
211530_x_at,2.83E-02,6.16E-03,-2.88,-3.125263,-3.47E-01,HLA-G,"major histocompatibility complex, class I, G",3135
217815_at,2.83E-02,6.16E-03,2.88,-3.125593,3.62E-01,SUPT16H,"SPT16 homolog, facilitates chromatin remodeling subunit",11198
221770_at,2.84E-02,6.17E-03,2.88,-3.127491,2.28E-01,RPE,ribulose-5-phosphate-3-epimerase,6120
57516_at,2.84E-02,6.17E-03,2.88,-3.127638,1.97E-01,ZNF764,zinc finger protein 764,92595
217928_s_at,2.84E-02,6.18E-03,2.88,-3.128573,4.64E-01,PPP6R3,protein phosphatase 6 regulatory subunit 3,55291
208908_s_at,2.84E-02,6.18E-03,-2.88,-3.128856,-5.04E-01,CAST,calpastatin,831
211200_s_at,2.84E-02,6.18E-03,2.88,-3.129033,4.38E-01,EFCAB2,EF-hand calcium binding domain 2,84288
202593_s_at,2.84E-02,6.18E-03,-2.88,-3.129219,-5.71E-01,GDE1,glycerophosphodiester phosphodiesterase 1,51573
205928_at,2.85E-02,6.19E-03,2.88,-3.130716,4.64E-01,ZNF443,zinc finger protein 443,10224
200968_s_at,2.85E-02,6.20E-03,2.88,-3.131964,5.75E-01,PPIB,peptidylprolyl isomerase B,5479
209686_at,2.85E-02,6.20E-03,-2.88,-3.13201,-1.08,S100B,S100 calcium binding protein B,6285
AFFX-LysX-5_at,2.85E-02,6.21E-03,-2.88,-3.133347,-4.67,,,
64899_at,2.85E-02,6.21E-03,-2.88,-3.13411,-1.38E-01,PLPPR2,phospholipid phosphatase related 2,64748
219061_s_at,2.86E-02,6.22E-03,-2.88,-3.134912,-3.91E-01,LAGE3,L antigen family member 3,8270
212249_at,2.86E-02,6.23E-03,2.88,-3.136063,4.78E-01,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,5295
218175_at,2.86E-02,6.23E-03,-2.87,-3.13661,-2.78E-01,CCDC92,coiled-coil domain containing 92,80212
211703_s_at,2.86E-02,6.24E-03,2.87,-3.138122,5.44E-01,TM2D1,TM2 domain containing 1,83941
218121_at,2.87E-02,6.26E-03,-2.87,-3.140363,-2.31E-01,HMOX2,heme oxygenase 2,3163
206193_s_at,2.87E-02,6.27E-03,-2.87,-3.141862,-4.05E-01,CDSN,corneodesmosin,1041
78383_at,2.88E-02,6.27E-03,2.87,-3.142713,3.02E-01,TOPORS-AS1,TOPORS antisense RNA 1,100129250
209110_s_at,2.88E-02,6.28E-03,-2.87,-3.143049,-3.29E-01,RGL2,ral guanine nucleotide dissociation stimulator like 2,5863
201276_at,2.88E-02,6.28E-03,2.87,-3.143283,3.76E-01,RAB5B,"RAB5B, member RAS oncogene family",5869
215990_s_at,2.88E-02,6.28E-03,2.87,-3.143316,2.60E-01,BCL6,B-cell CLL/lymphoma 6,604
201854_s_at,2.88E-02,6.29E-03,2.87,-3.144678,2.93E-01,ATMIN,ATM interactor,23300
212062_at,2.88E-02,6.29E-03,2.87,-3.144887,4.20E-01,ATP9A,ATPase phospholipid transporting 9A (putative),10079
208066_s_at,2.88E-02,6.29E-03,2.87,-3.145421,4.27E-01,GTF2B,general transcription factor IIB,2959
219865_at,2.88E-02,6.30E-03,2.87,-3.146255,6.52E-01,LINC00339,long intergenic non-protein coding RNA 339,29092
218557_at,2.88E-02,6.30E-03,2.87,-3.146771,4.08E-01,NIT2,nitrilase family member 2,56954
AFFX-ThrX-M_at,2.88E-02,6.30E-03,-2.87,-3.146833,-4.45,,,
214126_at,2.88E-02,6.30E-03,2.87,-3.147158,2.55E-01,,,
211531_x_at,2.88E-02,6.31E-03,-2.87,-3.147574,-4.18E-01,PRB1,proline rich protein BstNI subfamily 1,5542
201760_s_at,2.88E-02,6.31E-03,2.87,-3.147836,3.80E-01,WSB2,WD repeat and SOCS box containing 2,55884
46270_at,2.88E-02,6.31E-03,2.87,-3.147916,3.68E-01,UBAP1,ubiquitin associated protein 1,51271
207829_s_at,2.88E-02,6.31E-03,2.87,-3.148107,2.13E-01,BNIP1,BCL2 interacting protein 1,662
AFFX-PheX-M_at,2.89E-02,6.32E-03,-2.87,-3.148873,-4.01,,,
201354_s_at,2.89E-02,6.32E-03,-2.87,-3.149441,-3.13E-01,BAZ2A,bromodomain adjacent to zinc finger domain 2A,11176
207431_s_at,2.89E-02,6.32E-03,-2.87,-3.149753,-4.61E-01,DEGS1,"delta 4-desaturase, sphingolipid 1",8560
203341_at,2.89E-02,6.32E-03,2.87,-3.1501,4.10E-01,CEBPZ,CCAAT/enhancer binding protein zeta,10153
203052_at,2.89E-02,6.33E-03,-2.87,-3.15041,-7.68E-01,C2,complement component 2,717
217635_s_at,2.89E-02,6.33E-03,-2.87,-3.150763,-3.96E-01,POLG,"DNA polymerase gamma, catalytic subunit",5428
212434_at,2.89E-02,6.33E-03,2.87,-3.151636,3.02E-01,GRPEL1,"GrpE like 1, mitochondrial",80273
205718_at,2.90E-02,6.36E-03,-2.87,-3.155228,-8.59E-01,ITGB7,integrin subunit beta 7,3695
201496_x_at,2.90E-02,6.36E-03,2.87,-3.155496,9.46E-01,MYH11,myosin heavy chain 11,4629
200018_at,2.90E-02,6.37E-03,2.87,-3.156403,3.14E-01,LOC100508408///SNORD14B///RPS13,"uncharacterized LOC100508408///small nucleolar RNA, C/D box 14B///ribosomal protein S13",100508408///85388///6207
206818_s_at,2.91E-02,6.38E-03,2.87,-3.15823,5.79E-01,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,54805
219449_s_at,2.91E-02,6.39E-03,2.87,-3.159105,4.28E-01,TMEM70,transmembrane protein 70,54968
AFFX-ThrX-5_at,2.92E-02,6.40E-03,-2.86,-3.160906,-4.35,,,
AFFX-ThrX-3_at,2.92E-02,6.40E-03,-2.86,-3.161445,-4.62,,,
206286_s_at,2.92E-02,6.40E-03,2.86,-3.161571,3.41E-01,TDGF1P3///TDGF1,teratocarcinoma-derived growth factor 1 pseudogene 3///teratocarcinoma-derived growth factor 1,6998///6997
211538_s_at,2.92E-02,6.40E-03,2.86,-3.161873,6.38E-01,HSPA2,heat shock protein family A (Hsp70) member 2,3306
211115_x_at,2.92E-02,6.41E-03,2.86,-3.162102,5.19E-01,GEMIN2,gem nuclear organelle associated protein 2,8487
208347_at,2.92E-02,6.41E-03,-2.86,-3.162137,-1.46E-01,,,
211258_s_at,2.92E-02,6.41E-03,-2.86,-3.162921,-3.14E-01,TGFA,transforming growth factor alpha,7039
200082_s_at,2.92E-02,6.42E-03,2.86,-3.163739,2.40E-01,RPS7,ribosomal protein S7,6201
211954_s_at,2.92E-02,6.42E-03,2.86,-3.164731,4.66E-01,IPO5,importin 5,3843
216305_s_at,2.93E-02,6.45E-03,2.86,-3.167769,4.43E-01,GCFC2,GC-rich sequence DNA-binding factor 2,6936
215208_x_at,2.94E-02,6.45E-03,-2.86,-3.168909,-4.19E-01,RPL35A,ribosomal protein L35a,6165
213535_s_at,2.94E-02,6.45E-03,-2.86,-3.169008,-3.62E-01,UBE2I,ubiquitin conjugating enzyme E2 I,7329
207767_s_at,2.94E-02,6.46E-03,-2.86,-3.169216,-2.31E-01,EGR4,early growth response 4,1961
217294_s_at,2.94E-02,6.46E-03,-2.86,-3.169557,-6.34E-01,ENO1,enolase 1,2023
32723_at,2.94E-02,6.47E-03,2.86,-3.170884,1.97E-01,CSTF1,cleavage stimulation factor subunit 1,1477
205600_x_at,2.94E-02,6.47E-03,-2.86,-3.171617,-1.45E-01,HOXB5,homeobox B5,3215
220370_s_at,2.94E-02,6.48E-03,2.86,-3.172156,3.80E-01,USP36,ubiquitin specific peptidase 36,57602
205142_x_at,2.95E-02,6.49E-03,-2.86,-3.17354,-2.71E-01,ABCD1,ATP binding cassette subfamily D member 1,215
200759_x_at,2.95E-02,6.49E-03,2.86,-3.174573,3.13E-01,NFE2L1,"nuclear factor, erythroid 2 like 1",4779
218336_at,2.95E-02,6.51E-03,-2.86,-3.176403,-2.67E-01,PFDN2,prefoldin subunit 2,5202
207194_s_at,2.95E-02,6.51E-03,-2.86,-3.176452,-5.13E-01,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),3386
AFFX-DapX-3_at,2.96E-02,6.53E-03,-2.86,-3.179661,-3.34,,,
209639_s_at,2.96E-02,6.53E-03,-2.86,-3.180363,-1.89E-01,RGS12,regulator of G-protein signaling 12,6002
219911_s_at,2.96E-02,6.53E-03,-2.86,-3.180407,-4.52E-01,SLCO4A1,solute carrier organic anion transporter family member 4A1,28231
206501_x_at,2.96E-02,6.54E-03,-2.86,-3.180598,-2.55E-01,ETV1,ETS variant 1,2115
AFFX-r2-Bs-phe-3_at,2.96E-02,6.54E-03,-2.86,-3.180849,-4.12,,,
218472_s_at,2.96E-02,6.54E-03,2.86,-3.180931,3.72E-01,PELO,pelota homolog (Drosophila),53918
212559_at,2.96E-02,6.54E-03,-2.86,-3.180949,-2.16E-01,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,5575
208934_s_at,2.96E-02,6.54E-03,-2.86,-3.181012,-5.37E-01,LGALS8,galectin 8,3964
200808_s_at,2.97E-02,6.55E-03,-2.86,-3.182884,-6.09E-01,ZYX,zyxin,7791
200740_s_at,2.97E-02,6.56E-03,2.86,-3.184482,2.36E-01,SUMO3,small ubiquitin-like modifier 3,6612
AFFX-TrpnX-5_at,2.98E-02,6.57E-03,-2.85,-3.185854,-4.08,,,
201528_at,2.98E-02,6.58E-03,2.85,-3.186912,3.22E-01,RPA1,replication protein A1,6117
212914_at,2.98E-02,6.58E-03,2.85,-3.187232,6.06E-01,CBX7,chromobox 7,23492
219671_at,2.98E-02,6.59E-03,-2.85,-3.187656,-9.83E-01,HPCAL4,hippocalcin like 4,51440
217117_x_at,2.99E-02,6.59E-03,-2.85,-3.188725,-1.82E-01,MUC3B///MUC3A,"mucin 3B, cell surface associated///mucin 3A, cell surface associated",57876///4584
210907_s_at,2.99E-02,6.60E-03,2.85,-3.188839,3.99E-01,PDCD10,programmed cell death 10,11235
212297_at,2.99E-02,6.60E-03,2.85,-3.189097,4.86E-01,ATP13A3,ATPase 13A3,79572
209096_at,2.99E-02,6.60E-03,2.85,-3.189919,3.91E-01,UBE2V2,ubiquitin conjugating enzyme E2 V2,7336
219868_s_at,2.99E-02,6.61E-03,-2.85,-3.190448,-4.41E-01,ANKFY1,ankyrin repeat and FYVE domain containing 1,51479
219922_s_at,2.99E-02,6.61E-03,-2.85,-3.190814,-8.38E-01,LTBP3,latent transforming growth factor beta binding protein 3,4054
210189_at,2.99E-02,6.61E-03,2.85,-3.191062,2.73E-01,HSPA1L,heat shock protein family A (Hsp70) member 1 like,3305
202780_at,3.00E-02,6.63E-03,2.85,-3.193459,5.78E-01,OXCT1,3-oxoacid CoA-transferase 1,5019
212309_at,3.00E-02,6.63E-03,2.85,-3.193761,2.83E-01,CLASP2,cytoplasmic linker associated protein 2,23122
201510_at,3.00E-02,6.63E-03,-2.85,-3.194338,-6.11E-01,ELF3,E74 like ETS transcription factor 3,1999
AFFX-r2-Bs-phe-M_at,3.00E-02,6.64E-03,-2.85,-3.194563,-4.08,,,
206944_at,3.00E-02,6.64E-03,-2.85,-3.19485,-1.54E-01,HTR6,5-hydroxytryptamine receptor 6,3362
204866_at,3.00E-02,6.65E-03,-2.85,-3.19702,-3.07E-01,JADE3,jade family PHD finger 3,9767
202197_at,3.00E-02,6.65E-03,2.85,-3.197144,3.16E-01,MTMR3,myotubularin related protein 3,8897
204547_at,3.01E-02,6.66E-03,2.85,-3.19801,5.15E-01,RAB40B,"RAB40B, member RAS oncogene family",10966
211034_s_at,3.02E-02,6.69E-03,2.85,-3.202502,5.50E-01,HECTD4,HECT domain E3 ubiquitin protein ligase 4,283450
207999_s_at,3.02E-02,6.70E-03,-2.85,-3.203346,-1.34E-01,ADARB1,"adenosine deaminase, RNA specific B1",104
216471_x_at,3.02E-02,6.70E-03,-2.85,-3.203816,-6.53E-01,SSX2B///SSX2,SSX family member 2B///SSX family member 2,727837///6757
219175_s_at,3.03E-02,6.71E-03,2.85,-3.20473,5.31E-01,SLC41A3,solute carrier family 41 member 3,54946
213592_at,3.03E-02,6.71E-03,-2.85,-3.204888,-6.23E-01,APLNR,apelin receptor,187
208722_s_at,3.03E-02,6.72E-03,2.85,-3.20566,3.18E-01,ANAPC5,anaphase promoting complex subunit 5,51433
218134_s_at,3.03E-02,6.73E-03,2.85,-3.207486,2.36E-01,RBM22,RNA binding motif protein 22,55696
216954_x_at,3.04E-02,6.74E-03,2.85,-3.208894,1.39E-01,ATP5O,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",539
218974_at,3.04E-02,6.75E-03,2.84,-3.210535,1.13,SOBP,sine oculis binding protein homolog,55084
204337_at,3.04E-02,6.75E-03,-2.84,-3.210593,-1.36,RGS4,regulator of G-protein signaling 4,5999
210175_at,3.04E-02,6.76E-03,2.84,-3.211247,1.69E-01,GCFC2,GC-rich sequence DNA-binding factor 2,6936
220083_x_at,3.04E-02,6.76E-03,2.84,-3.211568,2.81E-01,UCHL5,ubiquitin C-terminal hydrolase L5,51377
201142_at,3.04E-02,6.76E-03,2.84,-3.211698,3.01E-01,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha,1965
217824_at,3.04E-02,6.76E-03,2.84,-3.211937,4.26E-01,UBE2J1,ubiquitin conjugating enzyme E2 J1,51465
206056_x_at,3.06E-02,6.79E-03,-2.84,-3.215797,-4.06E-01,SPN,sialophorin,6693
205709_s_at,3.07E-02,6.82E-03,2.84,-3.219649,3.83E-01,CDS1,CDP-diacylglycerol synthase 1,1040
200022_at,3.07E-02,6.82E-03,2.84,-3.219931,2.60E-01,RPL18,ribosomal protein L18,6141
218461_at,3.07E-02,6.82E-03,2.84,-3.220008,4.08E-01,GPN3,GPN-loop GTPase 3,51184
213391_at,3.07E-02,6.82E-03,2.84,-3.220361,4.84E-01,DPY19L4,dpy-19 like 4 (C. elegans),286148
208907_s_at,3.07E-02,6.83E-03,2.84,-3.220945,4.31E-01,MRPS18B,mitochondrial ribosomal protein S18B,28973
203079_s_at,3.07E-02,6.84E-03,2.84,-3.222352,3.07E-01,CUL2,cullin 2,8453
216782_at,3.07E-02,6.84E-03,-2.84,-3.22239,-1.24,,,
217653_x_at,3.07E-02,6.84E-03,-2.84,-3.222647,-9.15E-01,,,
